ope8_id,city,state,name,degrees_awarded_predominant,size,online_only,avg_net_price_pub,pell_grant_rate,retention_four_year_full_time,part_time_share,act_25th_pctl_cumulative,act_75th_pctl_cumulative,sat_average_all,sat_25th_pctl_math,sat_75th_pctl_math,sat_25th_pctl_reading,sat_75th_pctl_reading,sat_25th_pctl_writing,sat_75th_pctl_writing,race_ethn_white,race_ethn_black,race_ethn_hispanic,race_ethn_asian,race_ethn_two_or_more
3647300,Cleveland,TN,New Concepts School of Cosmetology,Predominantly certificate-degree granting,124,0,NaN,0.1129,NaN,0.9839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9758,0.0242,0,0,0
353500,Nashville,TN,Vanderbilt University,Predominantly bachelor's-degree granting,6794,0,NaN,0.1429,0.9732,0.0057,32,34,1475,710,790,700,780,680,770,0.6057,0.0802,0.0792,0.0848,0.0489
2294e3,Dyersburg,TN,Volunteer Beauty Academy-Dyersburg,Predominantly certificate-degree granting,59,0,NaN,0.5203,NaN,0.4407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7627,0.2034,0.0169,0,0
991200,Gallatin,TN,Volunteer State Community College,Predominantly associate's-degree granting,6415,0,9201,0.3877,NaN,0.4669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8025,0.0957,0.0371,0.014,0.0161
886300,Morristown,TN,Walters State Community College,Predominantly certificate-degree granting,4789,0,4068,0.427,NaN,0.3466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9211,0.0248,0.0226,0.0067,0.0169
494700,Jackson,TN,West Tennessee Business College,Predominantly certificate-degree granting,212,0,NaN,0.815,NaN,0.0142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.467,0.5236,0.0047,0,0.0047
1155300,Memphis,TN,William Moore College of Technology,Predominantly certificate-degree granting,219,0,NaN,0.3212,NaN,0.6073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.484,0.5068,0.0046,0,0
353700,Abilene,TX,Abilene Christian University,Predominantly bachelor's-degree granting,3647,0,NaN,0.2347,0.7941,0.0398,21,27,1087,490,600,470,580,450,560,0.7069,0.076,0.1206,0.0099,0.0373
353900,Alvin,TX,Alvin Community College,Predominantly associate's-degree granting,4227,0,7436,0.1545,NaN,0.6849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5238,0.0958,0.3104,0.0416,0
354e3,Amarillo,TX,Amarillo College,Predominantly associate's-degree granting,10009,0,5882,0.4618,NaN,0.6991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5368,0.0484,0.3622,0.0292,1e-4
666100,Lufkin,TX,Angelina College,Predominantly certificate-degree granting,4203,0,5573,0.4335,NaN,0.5187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5884,0.1701,0.1968,0.0095,0.0255
354100,San Angelo,TX,Angelo State University,Predominantly bachelor's-degree granting,5430,0,12716,0.4264,0.5457,0.1348,18,23,965,440,540,420,520,NaN,NaN,0.5451,0.0818,0.305,0.0101,0.0227
2081400,Arlington,TX,Arlington Baptist College,Predominantly bachelor's-degree granting,230,0,NaN,0.6395,0.5,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,0.1826,0.1,0,0
2521200,Grand Prairie,TX,Arlington Career Institute,Predominantly certificate-degree granting,235,0,NaN,0.632,NaN,0.2085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3745,0.2979,0.3191,0.0085,0
2117100,Houston,TX,The Art Institute of Houston,Predominantly bachelor's-degree granting,2300,0,NaN,0.5836,0.4955,0.2696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2043,0.1826,0.3265,0.0365,0.0087
354300,Sherman,TX,Austin College,Predominantly bachelor's-degree granting,1206,0,NaN,0.2842,0.8279,0.0017,23,27,1181,560,670,540,660,520,630,0.5779,0.0605,0.1567,0.1476,0.0091
1201500,Austin,TX,Austin Community College District,Predominantly associate's-degree granting,32715,0,9610,0.2607,NaN,0.7232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4551,0.0827,0.3029,0.0468,0.0195
1226800,Austin,TX,Baldwin Beauty School-South Austin,Predominantly certificate-degree granting,76,0,NaN,0.5752,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4605,0.0132,0.5263,0,0
660600,San Antonio,TX,Baptist Health System School of Health Professions,Predominantly associate's-degree granting,444,0,NaN,0.5383,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4279,0.0563,0.4257,0.0428,0.018
2331200,Jacksonville,TX,Baptist Missionary Association Theological Seminary,Predominantly bachelor's-degree granting,55,0,NaN,0.6545,NaN,0.6545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5818,0.3091,0.0909,0,0
363208,Bryan,TX,Texas A & M University Health Science Center,Predominantly bachelor's-degree granting,243,0,NaN,0.1748,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8189,0.0165,0.0823,0.0576,0
354500,Waco,TX,Baylor University,Predominantly bachelor's-degree granting,13221,0,NaN,0.22,0.8825,0.0142,24,29,1215,570,670,550,660,530,640,0.6408,0.0741,0.1386,0.0646,0.0473
354600,Beeville,TX,Coastal Bend College,Predominantly certificate-degree granting,2284,0,6121,0.3546,NaN,0.4273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2281,0.0232,0.6961,0.0048,0.0127
